,pharmacy_lookup,sample,covid_vacc_trial,resp_black,flu_season,survey_platform,T,T_cc,T_lay,T_ackn
830,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
831,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
832,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
833,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
834,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
835,6.0,facebook,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
836,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
837,5.0,season 2 lucid,1.0,0.0,1.0,Lucid,CC,1.0,,
838,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
839,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
840,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
841,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
842,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
843,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
844,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
845,5.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
846,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
847,5.0,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
848,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
849,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
850,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
851,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
852,5.0,season 2 cloudresearch,1.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
853,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
854,,facebook,,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
855,5.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
856,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,D,0.0,,
857,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
858,5.0,season 2 lucid2,1.0,1.0,1.0,Lucid,D,0.0,,0.0
859,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
860,6.0,season 2 lucid,1.0,1.0,1.0,Lucid,CC,1.0,0.0,
861,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
862,5.0,season 2 lucid2,1.0,0.0,1.0,Lucid,CC,1.0,,
863,5.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
864,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
865,5.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
866,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
867,6.0,season 2 lucid,1.0,0.0,1.0,Lucid,CC,1.0,,
868,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
869,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
870,5.0,season 2 lucid2,1.0,0.0,1.0,Lucid,D,0.0,,
871,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
872,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
873,5.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
874,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
875,5.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
876,5.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
877,5.0,season 2 lucid2,1.0,0.0,1.0,Lucid,CC,1.0,,
878,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
879,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
880,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
881,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
882,6.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,D,0.0,,
883,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
884,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,CC,1.0,,
885,5.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
886,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
887,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
888,5.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
889,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
890,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
891,5.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
892,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
893,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
894,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
895,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,D,0.0,,0.0
896,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
897,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
898,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
899,5.0,season 2 lucid2,1.0,0.0,1.0,Lucid,D,0.0,,
900,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
901,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
902,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
903,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
904,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
905,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
906,5.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
907,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
908,5.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
909,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
910,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
911,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
912,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
913,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
914,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
915,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
916,5.0,facebook,1.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
917,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
918,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
919,5.0,season 2 cloudresearch,1.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
920,5.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
921,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
922,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
923,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
924,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,CC,1.0,0.0,
925,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
926,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
927,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
928,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
929,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
930,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
931,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
932,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
933,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
934,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
935,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
936,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
937,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
938,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
939,5.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
940,5.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
941,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
942,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
943,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
944,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
945,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
946,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
947,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
948,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
949,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
950,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
951,,season 2 cloudresearch,,0.0,1.0,CloudResearch/Facebook,D,0.0,,
952,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
953,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
954,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
955,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,CC,1.0,,
956,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
957,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
958,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
959,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
960,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
961,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
962,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
963,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
964,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
965,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
966,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
967,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,D,0.0,,0.0
968,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
969,6.0,season 2 lucid,1.0,0.0,1.0,Lucid,D,0.0,,
970,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
971,5.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
972,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
973,5.0,season 2 lucid,1.0,0.0,1.0,Lucid,CC,1.0,,
974,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,D,0.0,,0.0
975,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
976,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,D,0.0,,0.0
977,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
978,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
979,5.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
980,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
981,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
982,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
983,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
984,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
985,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
986,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
987,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,D,0.0,,0.0
988,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
989,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
990,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
991,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
992,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
993,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
994,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
995,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
996,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
997,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
998,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
999,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
1000,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
1001,6.0,season 2 lucid,1.0,0.0,1.0,Lucid,D,0.0,,
1002,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1003,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
1004,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1005,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
1006,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1007,5.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
1008,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1009,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1010,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1011,5.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"D,AN",,,1.0
1012,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
1013,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1014,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1015,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,D,0.0,,0.0
1016,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
1017,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
1018,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
1019,5.0,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
1020,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1021,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
1022,5.0,season 2 cloudresearch,1.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
1023,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
1024,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
1025,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
1026,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
1027,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1028,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1029,6.0,season 2 cloudresearch,1.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
1030,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1031,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
1032,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1033,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
1034,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
1035,6.0,season 2 cloudresearch,1.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
1036,5.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1037,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1038,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
1039,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,D,0.0,,
1040,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
1041,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
1042,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1043,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1044,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1045,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
1046,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
1047,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1048,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1049,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
1050,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,CC,1.0,,
1051,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,CC,1.0,0.0,
1052,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1053,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1054,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
1055,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1056,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
1057,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1058,5.0,season 2 lucid,2.0,0.0,1.0,Lucid,D,0.0,,
1059,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
1060,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
1061,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
1062,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1063,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
1064,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1065,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
1066,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1067,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1068,6.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
1069,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1070,5.0,season 2 lucid,1.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1071,5.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
1072,5.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1073,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,CC,1.0,,
1074,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
1075,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
1076,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1077,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
1078,5.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
1079,6.0,season 2 lucid,1.0,1.0,1.0,Lucid,CC,1.0,0.0,
1080,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
1081,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1082,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
1083,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
1084,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
1085,5.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1086,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
1087,6.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,D,0.0,,0.0
1088,6.0,season 2 lucid2,1.0,1.0,1.0,Lucid,"D,AN",,,1.0
1089,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
1090,6.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
1091,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1092,5.0,season 2 lucid,1.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1093,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
1094,5.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
1095,6.0,season 2 lucid,2.0,0.0,1.0,Lucid,CC,1.0,,
1096,5.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
1097,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
1098,5.0,season 2 lucid,1.0,0.0,1.0,Lucid,D,0.0,,
1099,6.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1100,5.0,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
1101,5.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
1102,5.0,season 2 lucid2,2.0,0.0,1.0,Lucid,D,0.0,,
1103,5.0,season 2 lucid2,1.0,1.0,1.0,Lucid,D,0.0,,0.0
1104,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
1105,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
1106,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,D,0.0,,
1107,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1108,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1109,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,D,0.0,,
1110,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
1111,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1112,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1113,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1114,5.0,season 2 lucid2,1.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1115,5.0,season 2 lucid2,1.0,1.0,1.0,Lucid,CC,1.0,0.0,
1116,6.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1117,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1118,5.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1119,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1120,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1121,6.0,season 2 lucid,1.0,1.0,1.0,Lucid,CC,1.0,0.0,
1122,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1123,5.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
1124,5.0,facebook,2.0,0.0,1.0,CloudResearch/Facebook,D,0.0,,
1125,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1126,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
1127,5.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
1128,5.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"D,AN",,,1.0
1129,5.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1130,6.0,season 2 cloudresearch,1.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
1131,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,D,0.0,,0.0
1132,5.0,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
1133,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1134,5.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
1135,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1136,5.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1137,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1138,5.0,season 2 lucid2,2.0,1.0,1.0,Lucid,CC,1.0,0.0,
1139,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
1140,5.0,season 2 lucid,1.0,1.0,1.0,Lucid,"D,AN",,,1.0
1141,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
1142,5.0,season 2 lucid,1.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1143,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,CC,1.0,,
1144,5.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
1145,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1146,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
1147,6.0,season 2 lucid2,2.0,0.0,1.0,Lucid,CC,1.0,,
1148,5.0,season 2 qualtrics,1.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
1149,5.0,season 2 lucid2,1.0,1.0,1.0,Lucid,"D,AN",,,1.0
1150,5.0,season 2 qualtrics,2.0,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
1151,5.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
1152,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
